inc,alc,country
1914.996551,7.29,Albania
2231.993335,0.69,Algeria
21943.3399,10.17,Andorra
1381.004268,5.57,Angola
11894.46407,8.17,Antigua and Barbuda
10749.41924,9.35,Argentina
1326.741757,13.66,Armenia
25249.98606,10.21,Australia
26692.98411,12.4,Austria
2344.896916,13.34,Azerbaijan
19630.54055,8.65,Bahamas
12505.21254,4.19,Bahrain
558.0628766,0.17,Bangladesh
9243.587053,6.42,Barbados
2737.670379,18.85,Belarus
24496.04826,10.41,Belgium
3545.652174,5.92,Belize
377.0396995,2.08,Benin
1324.194906,0.54,Bhutan
1232.794137,5.78,Bolivia
2183.344867,9.6,Bosnia and Herzegovina
4189.436587,6.97,Botswana
4699.411262,10.08,Brazil
17092.46,1.86,Brunei
2549.558474,11.4,Bulgaria
276.200413,7.32,Burkina Faso
115.3059959,9.65,Burundi
557.9475126,4.71,Cambodia
713.6393027,7.9,Cameroon
25575.35262,10.2,Canada
1959.844472,4.98,Cape Verde
239.5187494,3.17,Central African Rep.
275.8842865,4.39,Chad
6334.105194,8.81,Chile
2425.471293,5.56,China
3233.42378,6.59,Colombia
336.3687495,0.28,Comoros
103.7758572,3.39,"Congo, Dem. Rep."
1253.292015,4.46,"Congo, Rep."
5188.900935,5.81,Costa Rica
591.0679443,6.47,Cote d'Ivoire
6338.494668,15,Croatia
4495.046262,5.12,Cuba
15313.85935,8.84,Cyprus
7381.312751,16.47,Czech Rep.
30532.27704,12.02,Denmark
895.3183396,1.87,Djibouti
6147.77961,8.68,Dominica
4049.169629,6.28,Dominican Rep.
1728.020976,9.43,Ecuador
1975.551906,0.32,Egypt
2557.433638,3.99,El Salvador
8654.536845,6.12,Equatorial Guinea
131.796207,1.64,Eritrea
6238.537506,17.24,Estonia
220.8912479,4.1,Ethiopia
2230.676374,2.76,Fiji
27110.73159,13.1,Finland
22878.46657,12.48,France
4180.765821,9.46,Gabon
354.5997263,3.58,Gambia
1258.762596,6.66,Georgia
25306.18719,12.14,Germany
358.9795398,3.11,Ghana
13577.87989,11.01,Greece
5330.401612,10.71,Grenada
1860.753895,7.1,Guatemala
411.5014473,0.79,Guinea
161.3171371,3.9,Guinea-Bissau
1200.652075,8.7,Guyana
371.4241975,5.92,Haiti
1392.411829,4.43,Honduras
5634.003948,16.12,Hungary
33945.31442,7.38,Iceland
786.7000981,2.69,India
1143.831514,0.56,Indonesia
2161.54651,1.03,Iran
736.2680538,0.47,Iraq
27595.09135,14.92,Ireland
22275.75166,2.52,Israel
18982.26929,9.72,Italy
3665.348369,5.17,Jamaica
39309.47886,7.79,Japan
2534.00038,0.65,Jordan
2481.718918,11.1,Kazakhstan
468.6960436,3.88,Kenya
760.262365,2.7,Kiribati
16372.49978,19.15,"Korea, Rep."
372.728414,4.72,Kyrgyzstan
554.8798401,6.99,Laos
5011.219456,13.45,Latvia
6746.612632,2.3,Lebanon
495.7342469,5.56,Lesotho
